Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Annalen der Pharmacie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0690c,2046,0365-5490,1099-0690,0,0,0,0,0,0,0,0,0,0
Annalen der Physik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3889,2257,0003-3804,1521-3889,100,20,80,16,19,8,13,17,11,16
Annali di Chimica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1612-8877,2294,0003-4592,1612-8877,1,0,1,0,1,0,0,0,0,0
Annals of Anthropological Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2153-9588,NAPA,2153-957X,2153-9588,73,45,28,9,2,8,21,24,3,6
Annals of Applied Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7348,AAB,0003-4746,1744-7348,328,111,217,37,60,52,53,38,61,27
Annals of Clinical and Translational Neurology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2328-9503,ACN3,2328-9503,2328-9503,91,46,45,9,25,12,9,14,12,10
Annals of Eugenics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2050-1439,AHG,2050-1420,2050-1439,8,0,8,1,0,2,0,1,4,0
Annals of Gastroenterological Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0328,AGS3,2475-0328,2475-0328,7,5,2,1,0,1,0,0,2,3
Annals of Human Genetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-1809,AHG,0003-4800,1469-1809,57,24,33,1,7,24,7,10,3,5
Annals of Neurology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1531-8249,ANA,0364-5134,1531-8249,1114,460,654,210,188,158,141,181,109,127
Annals of Noninvasive Electrocardiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1542-474X,ANEC,1082-720X,1542-474X,67,29,38,20,10,8,6,14,8,1
Annals of Periodontology,John Wiley and Sons,Wiley Online Library,10.1902/(ISSN)2162-5131,AAPE,1553-0841,2162-5131,0,0,0,0,0,0,0,0,0,0
Annals of Public and Cooperative Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8292,APCE,1370-4788,1467-8292,21,10,11,1,1,6,8,5,0,0
Annals of the Association of American Geographers,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8306,ANNA,0004-5608,1467-8306,44,22,22,12,4,2,8,12,4,2
Annals of the College of Surgeons of Hong Kong,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-2034,ASH,1028-4001,1442-2034,1,0,1,0,0,0,0,1,0,0
Annals of The Lyceum of Natural History of New York,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-6632a,NYAS,0890-6564,1749-6632,0,0,0,0,0,0,0,0,0,0
Annals of the New York Academy of Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-6632,NYAS,0077-8923,1749-6632,2400,983,1417,269,316,416,582,353,242,222
Annual Bulletin of Historical Literature,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8314,ABHL,0066-3832,1467-8314,0,0,0,0,0,0,0,0,0,0
Annual Review of Information Science and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1550-8382,ARI2,0066-4200,1550-8382,4,2,2,0,1,2,0,0,0,1
Anthropology & Education Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1492,AEQ,0161-7761,1548-1492,103,43,60,6,10,28,20,30,4,5
Anthropology and Humanism,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1409,ANHU,1559-9167,1548-1409,48,19,29,5,8,2,3,20,1,9
Anthropology and Humanism Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1409a,ANHU,0193-5615,1548-1409,2,0,2,0,0,0,1,1,0,0
Anthropology News,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-3502,ANNE,1541-6151,1556-3502,101,0,101,31,12,8,20,25,2,3
Anthropology of Consciousness,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-3537,ANOC,1053-4202,1556-3537,55,24,31,1,3,9,27,11,0,4
Anthropology of Work Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1417,AWR,0883-024X,1548-1417,42,21,21,4,4,8,5,13,8,0
Anthropology Today,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8322,ANTH,0268-540X,1467-8322,100,36,64,7,3,25,15,38,6,6
Antipode,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8330,ANTI,0066-4812,1467-8330,368,158,210,42,85,60,51,77,32,21
Anxiety,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-7154,ANXI,1070-9797,1522-7154,3,1,2,0,0,0,0,1,0,2
ANZ Journal of Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-2197,ANS,1445-1433,1445-2197,169,76,93,35,13,19,22,18,26,36
Anzeiger fÃ¼r SchÃ¤dlingskunde,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0280,AFS,1436-5693,1439-0280,0,0,0,0,0,0,0,0,0,0
AORN Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1878-0369,AORN,0001-2092,1878-0369,288,171,117,5,23,81,70,46,51,12
APLAR Journal of Rheumatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-8077,APL,0219-0494,1479-8077,2,0,2,0,0,0,1,0,0,1
APMIS,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463,APM,0903-4641,1600-0463,138,52,86,14,12,27,15,16,31,23
Applications in Plant Sciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2168-0450,APS3,2168-0450,2168-0450,97,42,55,3,8,4,44,19,10,9
Applied Cognitive Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0720,ACP,0888-4080,1099-0720,106,50,56,4,18,17,36,9,13,9
Applied Geographic Studies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6319,AGS,1083-3404,1520-6319,0,0,0,0,0,0,0,0,0,0
Applied Numerical Analysis & Computational Mathematics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1611-8189,2135,1611-8170,1611-8189,0,0,0,0,0,0,0,0,0,0
Applied Organometallic Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0739,AOC,0268-2605,1099-0739,199,14,185,5,9,8,125,24,18,10
Applied Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1464-0597,APPS,0269-994X,1464-0597,68,36,32,10,10,10,10,9,9,10
Applied Psychology: Health and Well-Being,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-0854,APHW,1758-0846,1758-0854,39,18,21,3,11,5,16,1,3,0
Applied Stochastic Models and Data Analysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0747,ASMB,8755-0024,1099-0747,3,0,3,0,0,0,0,2,1,0
Applied Stochastic Models in Business and Industry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1526-4025,ASMB,1524-1904,1526-4025,25,9,16,1,0,4,9,9,1,1
Applied Vegetation Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1654-109X,AVSC,1402-2001,1654-109X,24,6,18,1,6,2,3,4,2,6
Aqua,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2087,AQU,0003-7214,1365-2087,10,9,1,0,0,0,1,7,0,2
Aquaculture Nutrition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2095,ANU,1353-5773,1365-2095,65,44,21,14,5,16,20,9,0,1
Aquaculture Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2109,ARE,1355-557X,1365-2109,124,67,57,19,16,25,20,20,19,5
Aquatic Conservation: Marine and Freshwater Ecosystems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0755,AQC,1052-7613,1099-0755,102,41,61,8,33,5,20,9,13,14
Arabian Archaeology and Epigraphy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0471,AAE,0905-7196,1600-0471,15,7,8,1,3,1,6,1,1,2
Archaeological Prospection,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0763,ARP,1075-2196,1099-0763,9,4,5,0,1,1,1,2,4,0
Archaeology and Physical Anthropology in Oceania,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1834-4453a,ARCO,0003-8121,1834-4453,0,0,0,0,0,0,0,0,0,0
Archaeology in Oceania,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1834-4453,ARCO,0728-4896,1834-4453,0,0,0,0,0,0,0,0,0,0
Archaeometry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-4754,ARCM,0003-813X,1475-4754,48,14,34,7,6,14,4,6,2,9
Archeological Papers of the American Anthropological Association,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-8248,APAA,1551-823X,1551-8248,39,11,28,0,6,8,14,8,2,1
Architectural Design,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1554-2769,AD,0003-8504,1554-2769,227,0,227,13,33,45,44,30,5,57
Archiv der Pharmazie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4184,2019,0365-6233,1521-4184,54,15,39,10,6,8,5,21,3,1
Archiv fÃ¼r das EisenhÃ¼ttenwesen,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1869-344Xb,2520,0003-8962,1869-344X,0,0,0,0,0,0,0,0,0,0
Archives of Drug Information,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-5174,ADI2,1753-5174,1753-5174,0,0,0,0,0,0,0,0,0,0
Archives of Insect Biochemistry and Physiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6327,ARCH,0739-4462,1520-6327,124,43,81,10,11,17,14,45,18,9
Area,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-4762,AREA,0004-0894,1475-4762,87,43,44,9,6,19,18,10,8,17
Aristotelian Society Supplementary Volume,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8349,SUPA,0309-7013,1467-8349,8,2,6,0,0,1,3,2,0,2
ARN Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2048-7940a,RNJ,0362-3505,2048-7940,0,0,0,0,0,0,0,0,0,0
Art History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8365,AHIS,0141-6790,1467-8365,178,40,138,65,2,28,22,20,11,30
Arthritis & Rheumatism,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1529-0131,ART,0004-3591,1529-0131,774,244,530,95,89,137,145,104,113,91
Arthritis & Rheumatology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2326-5205,ART,2326-5191,2326-5205,381,147,234,53,67,49,74,45,35,58
Arthritis Care & Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1529-0131a,ACR,0004-3591,1529-0131,123,69,54,18,18,21,17,13,20,16
Arthritis Care & Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2151-4658,ACR,2151-464X,2151-4658,343,157,186,37,42,56,60,80,40,28
Artificial Organs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1525-1594,AOR,0160-564X,1525-1594,136,61,75,16,24,21,22,29,9,15
ASHE Higher Education Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1554-6306,AEHE,1551-6970,1554-6306,16,9,7,2,2,9,1,1,1,0
ASHE-ERIC Higher Education Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709,AEHE,0884-0040,1536-0709,6,0,6,0,1,1,2,0,2,0
ASHE-ERIC/Higher Education Research Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709b,AEHE,0737-1292,1536-0709,0,0,0,0,0,0,0,0,0,0
Asia & the Pacific Policy Studies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-2680,APP5,2050-2680,2050-2680,83,56,27,4,5,16,40,12,1,5
Asia Pacific Family Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1447-056X,AFM,1444-1683,1447-056X,1,1,0,0,0,0,1,0,0,0
Asia Pacific Journal of Clinical Nutrition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-6047,AJC,0964-7058,1440-6047,12,9,3,0,1,7,2,1,1,0
Asia Pacific Journal of Human Resources,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7941,APHR,1038-4111,1744-7941,29,13,16,3,0,12,4,3,4,3
Asia Pacific Viewpoint,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8373,APV,1360-7456,1467-8373,40,16,24,2,7,6,11,5,2,7
Asia-Oceania Journal of Obstetrics and Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1447-0756b,JOG,0389-2328,1447-0756,4,1,3,0,0,0,0,1,2,1
Asia-Pacific Journal of Chemical Engineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-2143,APJ,1932-2135,1932-2143,24,9,15,1,8,5,1,0,8,1
Asia-Pacific Journal of Clinical Oncology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1743-7563,AJCO,1743-7555,1743-7563,33,16,17,8,8,4,4,3,1,5
Asia-Pacific Journal of Financial Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2041-6156,AJFS,2041-9945,2041-6156,7,4,3,0,0,3,1,2,1,0
Asia-Pacific Journal of Financial Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2041-6156a,AJFS,1226-1165,2041-6156,0,0,0,0,0,0,0,0,0,0
Asia-Pacific Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-5872,APPY,1758-5864,1758-5872,10,8,2,1,0,7,1,0,1,0
Asian Economic Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8381,ASEJ,1351-3958,1467-8381,31,9,22,2,1,1,8,7,10,2
Asian Economic Policy Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-3131,AEPR,1832-8105,1748-3131,18,4,14,0,3,7,3,2,0,3
Asian Journal of Andrology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7262,AJAN,1008-682X,1745-7262,1,1,0,0,0,1,0,0,0,0
Asian Journal of Control,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-6093,ASJC,1561-8625,1934-6093,6,3,3,0,0,2,3,0,0,1
Asian Journal of Endoscopic Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-5910,ASES,1758-5902,1758-5910,19,4,15,0,2,1,1,1,5,9
Asian Journal of Organic Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2193-5815,2157,2193-5807,2193-5815,74,21,53,8,6,8,12,17,11,12
Asian Journal of Social Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-839X,AJSP,1367-2223,1467-839X,36,14,22,10,11,2,5,5,0,3
Asian Politics & Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1943-0787,ASPP,1943-0779,1943-0787,28,16,12,0,1,6,13,8,0,0
Asian Social Work and Policy Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-1411,ASWP,1753-1403,1753-1411,12,8,4,0,1,2,3,5,0,1
Asian Studies Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8403,ASRE,1035-7823,1467-8403,0,0,0,0,0,0,0,0,0,0
Asian-Pacific Economic Literature,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8411,APEL,0818-9935,1467-8411,15,8,7,2,4,4,1,1,2,1
ASLO Bulletin,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-3538, ,1536-352X,1536-3538,0,0,0,0,0,0,0,0,0,0
ASLO Web Lectures,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2157-2933a, ,2157-2933,2157-2933,0,0,0,0,0,0,0,0,0,0
Assessment Update,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0725,AU,1041-6099,1536-0725,3,2,1,0,2,0,0,1,0,0
Astronomische Nachrichten,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3994,2228,0004-6337,1521-3994,4,0,4,0,0,0,1,0,0,3
Astronomy & Geophysics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-4004,AAG,1366-8781,1468-4004,6,4,2,0,0,1,0,0,0,5
AT&T Bell Laboratories Technical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-7305b,BLTJ,0748-612X,1538-7305,0,0,0,0,0,0,0,0,0,0
AT&T Technical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-7305a,BLTJ,8756-2324,1538-7305,0,0,0,0,0,0,0,0,0,0
Atmospheric Science Letters,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1530-261X,ASL2,1530-261X,1530-261X,25,15,10,0,5,7,5,6,1,1
Austral Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9993,AEC,1442-9985,1442-9993,104,71,33,18,20,20,7,20,13,6
Austral Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2052-1758,AEN,2052-174X,2052-1758,16,2,14,1,3,2,4,0,3,3
Australasian Annals of Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-5994b, ,0571-9283,1445-5994,0,0,0,0,0,0,0,0,0,0
Australasian Journal of Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0960,AJD,0004-8380,1440-0960,83,40,43,15,8,19,12,7,10,12
Australasian Journal of Ultrasound in Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2205-0140,AJUM,1836-6864,2205-0140,7,3,4,1,0,0,2,2,0,2
Australasian Journal on Ageing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-6612,AJAG,1440-6381,1741-6612,11,1,10,1,0,1,1,3,4,1
Australasian Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1665,APY,1039-8562,1440-1665,3,2,1,0,0,0,0,2,0,1
Australasian Radiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1673,ARA,0004-8461,1440-1673,26,7,19,0,3,9,1,7,2,4
Australian & New Zealand Journal of Statistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-842X,ANZS,1369-1473,1467-842X,40,12,28,0,1,2,10,19,4,4
Australian Accounting Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1835-2561,AUAR,1035-6908,1835-2561,3,0,3,0,1,0,2,0,0,0
Australian Alcohol/Drug Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-3362b,DAR,0726-4550,1465-3362,1,0,1,1,0,0,0,0,0,0
Australian and New Zealand Journal of Family Therapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1467-8438,ANZF,0814-723X,1467-8438,5,3,2,0,0,1,1,1,1,1
Australian and New Zealand Journal of Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-5994a,IMJ,0004-8291,1445-5994,4,0,4,0,0,2,1,0,0,1
Australian and New Zealand Journal of Mental Health Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0979,INM,1324-3780,1440-0979,6,4,2,0,0,1,0,0,5,0
Australian and New Zealand Journal of Obstetrics and Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-828X,AJO,0004-8666,1479-828X,83,27,56,11,14,16,9,12,11,10
Australian and New Zealand Journal of Ophthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1606,CEO,0814-9763,1440-1606,5,0,5,0,1,1,1,2,0,0
Australian and New Zealand Journal of Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1614,ANP,0004-8674,1440-1614,26,10,16,2,0,4,19,1,0,0
Australian and New Zealand Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405,AZPH,1326-0200,1753-6405,105,45,60,12,9,19,17,39,5,4
Australian and New Zealand Journal of Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-2197a,ANS,0004-8682,1445-2197,40,4,36,5,3,10,13,1,4,4
Australian Dental Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1834-7819,ADJ,0045-0421,1834-7819,48,15,33,4,6,7,12,3,8,8
Australian Drug and Alcohol Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-3362a,DAR,0819-5331,1465-3362,0,0,0,0,0,0,0,0,0,0
Australian Economic History Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8446,AEHR,0004-8992,1467-8446,16,0,16,0,1,5,2,7,0,1
Australian Economic Papers,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8454,AEPA,0004-900X,1467-8454,16,1,15,1,1,6,2,2,4,0
Australian Economic Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8462,AERE,0004-9018,1467-8462,14,9,5,3,2,4,1,3,1,0
Australian Endodontic Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-4477,AEJ,1329-1947,1747-4477,1,0,1,0,1,0,0,0,0,0
Australian Endodontic Newsletter,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-4477a,AEJ,0313-7384,1747-4477,0,0,0,0,0,0,0,0,0,0
Australian Geographical Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8470,GEOR,0004-9190,1467-8470,0,0,0,0,0,0,0,0,0,0
Australian Journal of Agricultural and Resource Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8489,AJAR,1364-985X,1467-8489,118,56,62,12,35,13,36,9,5,8
Australian Journal of Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8489a,AJAR,0004-9395,1467-8489,8,0,8,2,1,1,1,1,1,1
Australian Journal of Earth Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0952,AES,0812-0099,1440-0952,0,0,0,0,0,0,0,0,0,0
Australian Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9993a,AEC,0307-692X,1442-9993,8,2,6,0,1,1,2,3,0,1
Australian Journal of Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-6055,AEN,1326-6756,1440-6055,33,11,22,7,6,2,4,4,3,7
Australian Journal of Experimental Biology and Medical Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1711a,IMCB,0004-945X,1440-1711,0,0,0,0,0,0,0,0,0,0
Australian Journal of Family Therapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1467-8438a,ANZF,0156-8779,1467-8438,0,0,0,0,0,0,0,0,0,0
Australian Journal of Grape and Wine Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-0238,AJGW,1322-7130,1755-0238,474,213,261,76,77,72,120,53,44,32
Australian Journal of Opthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9071a,CEO,0310-1177,1442-9071,4,0,4,1,0,1,0,0,0,2
Australian Journal of Politics & History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8497,AJPH,0004-9522,1467-8497,12,2,10,0,0,2,3,6,0,1
Australian Journal of Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9536,AJPY,0004-9530,1742-9536,19,7,12,0,4,3,3,5,2,2
Australian Journal of Public Administration,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8500,AUPA,0313-6647,1467-8500,15,8,7,1,1,1,4,4,4,0
Australian Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405a,AZPH,1035-7319,1753-6405,2,0,2,0,1,0,0,0,1,0
Australian Journal of Rural Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1584,AJR,1038-5282,1440-1584,14,7,7,0,1,7,2,4,0,0
Australian Journal of Social Issues,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1839-4655,AJS4,0157-6321,1839-4655,2,1,1,0,0,1,1,0,0,0
Australian Journal of Statistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-842Xa,ANZS,0004-9581,1467-842X,15,0,15,2,3,1,3,2,3,1
Australian Journal on Ageing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-6612a,AJAG,0726-4240,1741-6612,1,0,1,0,0,0,0,0,1,0
Australian Occupational Therapy Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1630,AOT,0045-0766,1440-1630,44,23,21,3,15,11,3,6,1,5
Australian Psychologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9544,AP,0005-0067,1742-9544,11,3,8,2,0,5,0,1,0,3
Australian Social Work,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1447-0748,ASW,0312-407X,1447-0748,2,2,0,0,1,0,1,0,0,0
Australian Veterinary Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-0813,AVJ,0005-0423,1751-0813,622,187,435,112,112,75,82,81,85,75
